id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2ZQc5eIAp2c7mIfzYQM9oO,black-metal,0.00932,0.311,266227,0.933,1.11e-05,2,0.356,-6.285,1,0.125,116.161,3,0.0746
549OklVaFgT46MaCHnqOkk,black-metal,0.00443,0.362,424957,0.917,0.468,11,0.0995,-5.368,0,0.0585,200.068,4,0.209
2HAf05uVEXfgamiCDi4aIY,black-metal,0.000134,0.104,314560,0.916,0.00221,3,0.0745,-4.774,1,0.112,191.455,3,0.231
3GdKvFCmE7tLPWG2ftv3CJ,black-metal,0.000114,0.141,306627,0.989,0.756,11,0.103,-2.596,0,0.0937,197.117,4,0.251
4KJitYqtcHbIA2lZ3bglnW,black-metal,0.00022,0.303,432040,0.997,0.871,6,0.321,-2.961,1,0.0886,124.261,4,0.0253
2e4HbuYdCKIeOjU7IVh0Xy,black-metal,4.51e-05,0.345,282653,0.972,0.234,7,0.321,-4.963,0,0.0953,90.07,4,0.11
0z9BZL7424rTgD7J2TytZz,black-metal,0.00173,0.344,455867,1.0,0.942,2,0.308,-2.228,0,0.124,114.133,4,0.0366
38mXVqxs8Jdq0c2EJjAyL8,black-metal,0.000141,0.275,359480,0.52,0.00623,11,0.315,-8.948,1,0.114,149.389,4,0.0755
32poLhXbEgfpCLaJ6tPafb,black-metal,0.000112,0.26,291547,0.829,0.107,0,0.562,-6.649,1,0.0648,133.196,4,0.084
0lU3my6801IGHdqux69GYK,black-metal,0.241,0.191,254160,0.997,0.946,7,0.359,-3.309,1,0.148,136.599,4,0.0362
1G43tiqYG6cKhG9Rdd0e1B,black-metal,5.53e-06,0.437,306640,0.789,0.318,2,0.0526,-6.885,1,0.0442,75.972,4,0.256
0XOL7XB2Ocn2zZ0ZUtvVDd,black-metal,4.11e-06,0.212,174307,0.99,0.135,10,0.176,-4.557,0,0.171,152.295,4,0.125
5HAb7rzQP7ZbmKWqZzEtNS,black-metal,1.67e-06,0.184,277014,0.681,0.876,1,0.276,-7.271,0,0.0865,141.624,4,0.0544
27LiEEwXHlHYWQf0YloPXa,black-metal,0.0541,0.416,140574,0.941,2.44e-05,0,0.266,-7.759,1,0.221,140.769,4,0.526
4JievsdwkotZcP0CCvJAMO,black-metal,0.0115,0.0842,212000,0.839,0.423,0,0.178,-10.51,1,0.091,57.317,4,0.185
767urr0KHYlg1zeKQEw6Oz,black-metal,0.00024,0.246,277920,0.944,0.000461,4,0.0979,-5.382,0,0.112,97.328,3,0.155
4Cfn1AAAAUJC9cI4AwGAld,bluegrass,0.778,0.577,236600,0.806,0,0,0.371,-6.521,1,0.0661,95.49,4,0.888
15QHEkRe0q1nAR2aZ8v7Bc,bluegrass,0.506,0.435,304693,0.813,0.0195,11,0.359,-5.062,0,0.0355,97.913,4,0.972
7GI1Weh21oGJYeSbrtOyR1,bluegrass,0.627,0.48,224853,0.548,0.00502,0,0.205,-9.119,1,0.0328,90.109,4,0.34
4xMmjrefx4NlEOHfGu3EQf,bluegrass,0.646,0.45,278533,0.313,0.24,9,0.441,-15.786,1,0.0309,100.299,4,0.541
1veKUlp1iIc9JJEV0LO4Ty,bluegrass,0.678,0.631,219107,0.533,0.00106,0,0.265,-9.814,1,0.0295,102.269,4,0.53
6fbgWiXF0bNlihr7s1eIrX,bluegrass,0.832,0.426,188200,0.234,0.000204,3,0.137,-18.349,1,0.0343,107.771,4,0.688
